0.26049	3.49781	3.77635
0.26159	3.59669	3.71488
0.2627	3.68929	3.64363
0.26381	3.77408	3.56208
0.26494	3.84972	3.47119
0.26608	3.91493	3.37515
0.26723	3.96851	3.27675
0.26838	4.01132	3.1775
0.26955	4.04361	3.07892
0.27073	4.06593	2.98281
0.27191	4.07915	2.89024
0.27311	4.08474	2.8018
0.27432	4.08359	2.71787
0.27554	4.07685	2.6398
0.27677	4.06539	2.56701
0.27801	4.05001	2.49944
0.27926	4.03173	2.43767
0.28053	4.01123	2.38102
0.2818	3.98921	2.33061
0.28309	3.96632	2.28445
0.28439	3.94306	2.24229
0.2857	3.91954	2.20409
0.28702	3.89627	2.16985
0.28835	3.87348	2.13903
0.2897	3.85127	2.11114
0.29106	3.82989	2.08594
0.29244	3.80955	2.06332
0.29382	3.79031	2.04347
0.29522	3.77215	2.02575
0.29663	3.75503	2.0097
0.29806	3.73912	1.99536
0.2995	3.72417	1.98277
0.30095	3.71018	1.97155
0.30242	3.69719	1.96175
0.3039	3.68521	1.95319
0.3054	3.6741	1.94578
0.30691	3.66405	1.93944
0.30844	3.65497	1.93432
0.30998	3.64683	1.92972
0.31154	3.63972	1.92611
0.31311	3.63355	1.92351
0.3147	3.62831	1.92196
0.31631	3.6241	1.92099
0.31793	3.62091	1.92094
0.31957	3.61871	1.92157
0.32122	3.61751	1.92286
0.3229	3.61738	1.92495
0.32459	3.61829	1.9279
0.3263	3.62031	1.93142
0.32802	3.62358	1.93562
0.32977	3.62806	1.94049
0.33153	3.63374	1.94634
0.33331	3.64068	1.95294
0.33512	3.64905	1.96026
0.33694	3.65881	1.96826
0.33878	3.67026	1.97695
0.34064	3.68366	1.98678
0.34252	3.69925	1.99744
0.34442	3.71732	2.00907
0.34635	3.7385	2.02174
0.34829	3.7632	2.03541
0.35026	3.79201	2.05009
0.35225	3.82569	2.06482
0.35426	3.86519	2.07888
0.3563	3.911	2.09131
0.35836	3.96278	2.09893
0.36044	4.01947	2.09863
0.36255	4.07928	2.08867
0.36468	4.13907	2.06859
0.36684	4.19598	2.03938
0.36903	4.24866	2.00334
0.37124	4.29682	1.96578
0.37347	4.34143	1.92985
0.37574	4.38548	1.8969
0.37803	4.43232	1.86752
0.38035	4.485	1.83886
